"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 3488_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_ 7A_3.OKA","7/24/2024 10:32:48 PM"," 7-A","PM02A","","NRRL 3488","Aspergillus oryzae","",0.0000,"11.0000","11.2169","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.5243","14.6627","11.3410","11.0000","11.0000","28.5088","11.0000","11.0000","11.0000","33.3403","11.0000","11.0000","15.0815","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.7976","12.8059","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.3885","38.3168","11.0000","11.0000","11.0000","20.6950","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","24.8061","14.5730","11.0000","21.9468","11.0000","11.0000","11.0000","11.0000","11.0000","29.4632","11.0000","16.7264","14.1170","18.8676","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.0587","11.9016","18.4201","18.9318","13.3729","11.0000","13.9103","13.5199","12.1543","11.2255","16.2330","102.0410","14.1828","22.5165","26.4534"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 3488_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_ 7A_3.OKA","7/24/2024 10:32:48 PM"," 7-A","PM02A","","NRRL 3488","Aspergillus oryzae","",0.2500,"11.0000","11.0000","11.1519","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.4165","14.6604","11.0000","11.0000","11.0000","29.9914","11.0000","11.0000","11.0000","31.7649","11.0000","11.0000","13.0367","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.0568","33.7410","11.0000","11.0000","11.0000","17.0208","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.6338","14.2787","11.0000","22.8090","11.0000","11.0000","11.0000","11.0000","11.0000","30.4194","11.0000","13.4987","13.5765","18.9544","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.0264","11.0000","15.7549","21.8998","14.5106","11.0000","11.9005","11.9654","11.0000","11.0000","11.0000","111.7146","15.0897","23.5268","22.8962"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 3488_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_ 7A_3.OKA","7/24/2024 10:32:48 PM"," 7-A","PM02A","","NRRL 3488","Aspergillus oryzae","",0.5000,"11.0000","11.0000","11.2126","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.7512","14.6283","11.0000","11.0000","11.0000","38.9402","11.0000","11.0000","11.0000","34.1282","11.0000","11.0000","12.8165","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.8164","11.7830","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8327","30.6003","11.0000","11.0918","11.0000","21.6134","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","28.4042","18.2600","11.0000","25.9736","11.0000","12.0146","11.0000","11.0000","11.0000","37.9722","11.0000","17.0061","13.4785","20.4947","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.3933","13.6119","20.2161","26.0320","15.1347","11.0000","13.1069","13.8144","14.8906","11.0000","12.5510","110.0938","18.3343","21.0902","19.3842"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 3488_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_ 7A_3.OKA","7/24/2024 10:32:48 PM"," 7-A","PM02A","","NRRL 3488","Aspergillus oryzae","",0.7500,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.7334","15.8704","13.8132","11.0939","11.0000","11.0000","39.7304","11.0000","11.0000","11.0000","40.2699","11.0000","11.0000","12.6692","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.7779","11.0607","11.0000","11.0000","11.0000","11.0000","16.7644","11.0000","11.0000","11.0000","11.0000","11.0000","14.6402","31.7280","11.0000","11.0000","11.0000","23.2563","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","32.6085","23.0491","11.0000","22.0200","13.2694","16.0243","11.0000","11.0000","11.0000","37.2462","11.0000","11.0000","15.5371","22.6931","11.0639","12.4510","11.0000","11.0000","11.0000","11.0000","11.0000","15.9650","17.7677","11.1293","15.0119","26.9379","19.1821","11.6994","14.9775","14.6359","12.3148","11.0000","14.6031","115.6576","17.3783","21.0178","22.4613"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 3488_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_ 7A_3.OKA","7/24/2024 10:32:48 PM"," 7-A","PM02A","","NRRL 3488","Aspergillus oryzae","",1.0000,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.9703","16.7292","13.9242","11.0000","11.0000","43.6703","11.0000","11.0000","11.0000","43.3596","11.4121","11.0000","15.0951","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.1131","11.0000","11.0000","11.0000","11.0000","11.0000","22.5767","11.0000","11.0000","11.0000","11.0000","11.4212","15.1317","36.5628","11.0000","11.0000","11.0000","28.4936","11.0000","11.0000","11.0000","11.0000","11.0000","12.8315","30.7317","23.4179","11.0000","30.3070","12.4892","15.6819","11.0000","11.0000","11.0000","43.2409","11.0000","15.4667","16.0837","26.0643","16.4130","11.7566","11.0000","11.0000","11.0000","11.0000","11.9827","12.4150","21.7845","13.4736","17.2629","33.4099","21.1873","11.0000","18.9037","13.6500","15.8032","18.8543","15.5695","118.3808","16.6439","24.4608","22.1598"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 3488_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_ 7A_3.OKA","7/24/2024 10:32:48 PM"," 7-A","PM02A","","NRRL 3488","Aspergillus oryzae","",1.2500,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6745","17.8638","16.1733","11.0000","11.0000","11.0000","44.9311","11.0000","11.0000","11.0000","45.2267","11.0000","11.0000","13.9445","12.4238","11.6866","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.7766","11.0000","11.0000","11.0000","11.0000","11.0000","23.0841","11.0000","11.0000","11.0000","11.0000","11.0000","15.9495","34.7980","11.0000","11.0000","11.0000","28.5635","11.0000","12.4198","11.0000","11.0000","11.0000","11.0000","33.0817","23.4937","11.0000","31.3127","14.8907","17.8213","11.0000","11.0316","11.9760","44.7590","11.0000","13.2737","14.8385","26.7820","14.2963","12.9534","11.0000","11.0000","11.0000","11.0000","11.0000","15.1815","21.7889","18.8050","20.1060","35.1841","19.0560","11.7324","16.0599","13.8984","20.0174","11.6481","12.9498","123.9648","17.9334","23.4117","23.1731"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 3488_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_ 7A_3.OKA","7/24/2024 10:32:48 PM"," 7-A","PM02A","","NRRL 3488","Aspergillus oryzae","",1.5000,"11.0000","11.0000","12.5351","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","27.0181","15.9778","14.5300","12.0321","11.0000","11.0000","42.0291","11.0000","11.0000","11.0000","44.7834","11.0000","11.0000","11.7749","11.8482","11.4994","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.0980","11.0000","11.0000","11.1831","11.0000","11.0000","24.9217","11.0000","11.0000","11.0000","11.0000","11.0000","17.3814","31.8966","11.0000","11.0000","11.0000","28.1878","11.7432","11.0000","11.0000","11.0000","11.0000","11.0000","33.4022","25.8210","11.0000","32.6341","11.0000","21.3560","11.0000","11.0000","13.3298","42.3432","11.0000","12.2000","13.0620","29.2517","14.1043","12.3233","11.0000","11.0000","11.0000","11.0000","11.0000","13.5732","18.6879","14.4653","22.1475","33.4351","17.1201","13.4520","12.6763","13.7737","19.9214","12.6526","16.3946","122.0346","18.0316","26.2835","20.3861"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 3488_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_ 7A_3.OKA","7/24/2024 10:32:48 PM"," 7-A","PM02A","","NRRL 3488","Aspergillus oryzae","",1.7500,"11.8680","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5439","11.0000","14.6793","11.4869","11.4379","11.0000","11.0000","44.9949","11.0000","11.0000","11.0000","48.9945","11.0000","11.0000","13.1696","11.8785","13.7466","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.0617","11.0000","11.0000","13.1670","11.0000","11.0000","24.3922","11.0000","11.0000","11.0000","11.0000","11.6472","17.2257","36.2179","11.0000","11.0000","11.0000","27.4991","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","34.4277","25.7903","11.0000","30.3908","13.3407","20.1158","11.0000","15.1391","15.2188","47.0180","11.0000","15.1054","12.3641","29.3722","17.6566","14.4343","12.6919","11.0000","11.0000","11.0000","11.0000","15.1493","15.9099","18.2221","19.7495","39.6771","19.7429","14.1526","18.6674","13.7425","21.3604","12.5554","18.0194","123.4740","19.1762","20.6388","21.0588"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 3488_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_ 7A_3.OKA","7/24/2024 10:32:48 PM"," 7-A","PM02A","","NRRL 3488","Aspergillus oryzae","",2.0000,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0875","11.0000","11.8452","11.0000","11.0000","44.8611","11.0000","11.0000","11.0000","48.9120","14.2789","11.0000","13.0766","12.4276","12.6279","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.9366","11.0000","11.0000","14.9957","11.0000","11.0000","24.5990","11.0000","11.0000","11.5692","11.0000","13.9333","15.3802","33.6831","11.0000","11.0000","11.0000","31.9194","12.3886","11.0000","11.0000","11.0000","11.0000","14.2639","38.3702","25.8417","11.0000","29.6986","15.1673","21.9932","11.0000","11.0000","16.7083","47.7404","11.0000","13.1229","13.1182","18.5565","14.0688","15.0956","11.0000","11.0000","11.0000","11.0000","11.0000","12.6085","14.1302","22.4377","18.6873","38.6624","15.7414","11.2872","14.7281","12.2431","14.0907","16.9958","18.8249","120.8737","17.4254","23.1447","19.4859"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 3488_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_ 7A_3.OKA","7/24/2024 10:32:48 PM"," 7-A","PM02A","","NRRL 3488","Aspergillus oryzae","",2.2500,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.6124","11.0000","11.2817","11.0000","11.0000","50.1715","11.0000","11.0000","11.0000","50.9911","14.7278","11.0000","15.5252","11.0000","14.8951","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.5762","15.4597","11.0000","12.1276","11.0000","11.0000","29.7427","11.0000","11.0000","11.0000","11.0000","13.7942","16.4487","37.8353","11.0000","11.0000","11.0000","31.7378","14.6030","11.0000","11.0000","11.0000","11.0000","11.0000","39.3545","27.1124","11.0000","31.7355","14.0999","19.9536","11.0000","12.6224","14.5637","45.7306","11.0000","17.5462","14.9708","20.3423","14.6566","12.7337","11.0628","11.0000","11.0000","11.0000","13.5754","15.5657","19.3806","19.6985","21.7126","35.1126","13.1985","11.0000","17.4507","16.8257","14.9073","18.6209","19.8313","123.7099","23.0200","19.9975","25.0190"
