"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_NRRL 5592_Aspergillus oryzae__2_30_CL3_769_8#19#2024_A_17B_22.OKA","8/19/2024 7:16:29 PM","17-B","PM02A","","NRRL 5592","Aspergillus oryzae","",0.0000,"25.6562","12.7118","11.3571","14.4494","11.0000","12.1621","15.8151","17.1913","11.0000","12.6625","24.7333","34.0896","14.8471","11.0000","11.0000","11.0000","46.4559","11.0000","11.0000","11.0000","32.9206","11.0000","16.1813","40.1521","14.5059","11.2918","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4908","11.0000","11.0000","17.3428","12.2735","11.0000","15.8669","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.0859","54.7576","11.0000","11.0000","11.0000","16.0097","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","31.1428","16.8219","11.0000","13.0681","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6062","20.0286","17.5319","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.0079","11.0000","18.1760","16.6736","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","67.4519","11.0000","18.7198","16.3680"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_NRRL 5592_Aspergillus oryzae__2_30_CL3_769_8#19#2024_A_17B_22.OKA","8/19/2024 7:16:29 PM","17-B","PM02A","","NRRL 5592","Aspergillus oryzae","",0.2500,"27.3020","23.1115","11.1948","14.1045","11.0000","11.0000","19.2313","13.4965","11.0000","16.6525","17.1185","29.2148","14.1903","11.0000","11.0000","11.0000","44.3555","11.0000","11.0000","11.0000","33.7650","11.0000","16.2143","39.6239","14.2216","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.7711","14.0079","11.0000","11.0000","17.6367","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.7925","43.7111","11.0000","11.0000","11.0000","19.7511","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","31.2699","15.6575","11.0000","14.0558","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.7522","14.8280","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.9582","13.4412","17.7722","14.0362","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","66.1308","11.0000","20.7763","17.8263"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_NRRL 5592_Aspergillus oryzae__2_30_CL3_769_8#19#2024_A_17B_22.OKA","8/19/2024 7:16:29 PM","17-B","PM02A","","NRRL 5592","Aspergillus oryzae","",0.5000,"19.6849","18.0795","12.1357","12.7678","14.7558","11.0000","20.8943","17.8998","11.0000","12.1966","20.4105","31.6005","19.6476","11.0000","11.0000","11.0000","45.6043","11.0000","11.0000","11.0000","32.3512","11.0000","13.9709","44.8072","11.1905","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.1733","14.3521","13.0567","11.0000","15.9239","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","39.9189","11.0000","11.0000","11.0000","16.1674","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","33.9524","11.0000","11.0000","16.0493","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.4780","13.9782","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.7531","13.3799","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","66.8889","11.0000","12.2414","18.4491"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_NRRL 5592_Aspergillus oryzae__2_30_CL3_769_8#19#2024_A_17B_22.OKA","8/19/2024 7:16:29 PM","17-B","PM02A","","NRRL 5592","Aspergillus oryzae","",0.7500,"19.2178","18.7373","11.0000","11.6272","11.0000","11.0000","18.1127","12.9642","12.2551","11.0000","21.3577","25.6007","14.5872","11.0000","11.0000","11.0000","47.7768","11.0000","11.0000","11.0000","32.3234","11.0000","18.1522","44.9279","12.6137","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.0799","11.0000","23.6017","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0724","35.3084","11.0000","11.0000","11.0000","14.7197","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","36.6754","12.1460","11.0000","12.9357","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.8845","15.9775","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","32.1779","11.0958","16.1391","12.2851","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","72.8578","11.0000","11.0000","14.6981"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_NRRL 5592_Aspergillus oryzae__2_30_CL3_769_8#19#2024_A_17B_22.OKA","8/19/2024 7:16:29 PM","17-B","PM02A","","NRRL 5592","Aspergillus oryzae","",1.0000,"22.8504","22.1979","12.8158","19.6824","15.2145","11.0000","22.4689","21.0633","11.0000","11.0000","23.4244","28.9981","21.4235","16.1134","11.0000","11.0000","54.2193","11.0000","11.0000","11.0000","37.3214","12.7000","11.0330","46.7461","20.3036","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.0210","15.1562","11.0000","20.5456","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.7941","34.6195","11.0000","11.0000","11.0000","20.3628","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","39.1278","12.4803","11.0000","26.8853","11.0000","12.0209","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.5833","13.6327","11.0000","11.0000","12.2016","11.0000","11.0000","11.0000","11.0000","14.1038","23.9194","15.8507","17.0434","14.3462","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5349","69.4314","12.3148","19.1055","18.8801"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_NRRL 5592_Aspergillus oryzae__2_30_CL3_769_8#19#2024_A_17B_22.OKA","8/19/2024 7:16:29 PM","17-B","PM02A","","NRRL 5592","Aspergillus oryzae","",1.2500,"21.3400","24.5811","11.0000","13.6963","16.1988","11.0000","18.6859","18.7358","14.5717","16.8852","21.8008","29.3479","15.5655","11.0000","11.0000","11.0000","50.7321","11.0000","11.0000","11.0000","35.1920","11.0000","14.5518","45.4532","20.5371","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","27.3195","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.2575","29.0243","11.0000","11.0000","11.0000","15.6383","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","28.5649","11.6778","11.0000","18.3977","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.7973","13.0196","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","37.2151","12.4445","14.5368","15.3979","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","70.4238","12.1285","13.0775","15.6516"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_NRRL 5592_Aspergillus oryzae__2_30_CL3_769_8#19#2024_A_17B_22.OKA","8/19/2024 7:16:29 PM","17-B","PM02A","","NRRL 5592","Aspergillus oryzae","",1.5000,"27.1735","25.9817","11.0000","13.9308","16.2461","12.1937","23.9635","18.6112","11.0000","15.8231","24.7795","32.6246","16.3207","11.0000","11.0000","11.0000","48.9944","11.0000","11.0000","11.0000","42.8241","11.5577","11.0000","36.0854","17.6535","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.1544","11.0000","13.2394","11.0000","11.0000","20.7166","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3280","30.3265","11.0000","11.0000","11.0000","18.7705","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","28.9291","16.1142","11.0000","25.0300","11.0000","12.5716","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.9014","15.8777","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","37.3683","11.4468","16.9093","15.3684","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","68.3675","11.0000","16.6856","17.6421"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_NRRL 5592_Aspergillus oryzae__2_30_CL3_769_8#19#2024_A_17B_22.OKA","8/19/2024 7:16:29 PM","17-B","PM02A","","NRRL 5592","Aspergillus oryzae","",1.7500,"25.8694","28.0932","11.0000","13.9286","19.0093","13.8530","20.7517","20.3952","15.8015","22.2220","27.5222","28.7824","19.3704","11.0000","11.0000","11.0000","47.2748","11.0000","11.0000","11.0000","42.6258","11.0000","11.8554","36.8073","19.1196","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1887","15.5692","16.9779","11.0000","24.7704","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.0291","27.2167","11.0000","11.0000","11.0000","21.4769","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","33.1624","13.6221","11.0000","26.2545","11.0000","13.3163","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.3686","13.6885","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","40.0837","11.0000","15.6519","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","67.2859","11.0000","17.4274","15.1046"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_NRRL 5592_Aspergillus oryzae__2_30_CL3_769_8#19#2024_A_17B_22.OKA","8/19/2024 7:16:29 PM","17-B","PM02A","","NRRL 5592","Aspergillus oryzae","",2.0000,"25.1512","29.1926","11.0000","12.9609","22.7355","13.9019","22.4706","18.7574","12.3272","29.1453","27.9205","26.9185","18.6440","11.0000","12.8025","11.0000","48.2292","11.0000","11.0000","11.0000","44.3409","11.0000","11.0000","36.6767","19.7975","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.1311","11.0957","11.0000","23.0217","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","28.7747","11.0000","11.0000","11.0000","22.0460","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","33.6853","17.0705","11.0000","34.5206","11.0000","13.5975","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.2790","17.0853","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","37.9668","12.5052","17.9886","14.4932","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","72.6853","13.2365","18.1275","15.7470"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_NRRL 5592_Aspergillus oryzae__2_30_CL3_769_8#19#2024_A_17B_22.OKA","8/19/2024 7:16:29 PM","17-B","PM02A","","NRRL 5592","Aspergillus oryzae","",2.2500,"22.5425","28.2986","11.0000","14.3753","21.4907","12.3890","24.7391","20.5550","11.0000","22.5180","26.8847","29.7824","18.2397","12.2851","14.0251","11.0000","52.8252","11.1582","11.0000","11.0000","44.7518","11.0000","15.0651","37.0023","20.8297","11.0000","11.0000","11.0000","13.1506","11.0000","11.0000","11.0000","11.2880","11.0000","13.6903","13.5376","12.2707","11.0000","25.5956","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.0093","30.1847","11.0000","11.0000","18.5255","25.2073","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","30.1272","13.6530","11.0000","31.8415","11.0000","17.7112","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.4366","15.7175","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","42.5558","13.9505","14.7754","13.0088","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","72.0744","14.7337","20.2384","18.9909"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_NRRL 5592_Aspergillus oryzae__2_30_CL3_769_8#19#2024_A_17B_22.OKA","8/19/2024 7:16:29 PM","17-B","PM02A","","NRRL 5592","Aspergillus oryzae","",2.5000,"25.8497","30.1383","11.0000","19.8837","23.9684","11.0000","23.8877","22.7021","16.1545","18.7823","28.1929","31.9119","20.2741","12.6357","15.7212","11.0000","51.9819","11.0000","11.0000","11.0000","46.1242","11.7188","15.8389","38.9017","21.6597","11.0000","11.0000","11.0000","14.7591","11.0000","11.0000","11.0000","12.2450","11.0000","13.5034","16.4454","11.5410","11.0000","25.0735","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","33.5317","11.0000","11.0000","20.3704","28.4431","11.0000","11.0000","11.0000","11.0000","11.0000","11.6472","33.9900","11.0000","11.0000","36.7436","11.0000","19.2952","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","24.0861","14.3829","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","41.2178","19.0688","17.7366","17.3419","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","68.7570","19.4238","18.4806","19.3096"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_NRRL 5592_Aspergillus oryzae__2_30_CL3_769_8#19#2024_A_17B_22.OKA","8/19/2024 7:16:29 PM","17-B","PM02A","","NRRL 5592","Aspergillus oryzae","",2.7500,"25.7877","35.5100","11.0000","18.4976","26.5181","11.0000","24.8665","24.9436","30.7203","21.0771","27.9933","29.9750","22.7162","13.6172","14.6613","11.0000","52.0756","11.0000","11.0000","11.0000","49.7634","11.9802","20.2499","40.3806","23.5835","11.0000","11.0000","11.0000","13.3300","11.0000","11.0000","11.0000","13.2027","11.0000","13.8885","16.0189","12.1456","11.0000","25.8902","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.2110","31.8289","11.0000","11.0000","21.3137","32.6765","11.0000","11.0000","11.0000","11.0000","11.0000","11.2589","33.5479","15.9480","11.0000","29.2081","11.0000","20.9223","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.9250","14.9315","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","39.2033","15.4650","17.0193","15.4024","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","67.8877","15.2279","19.1780","15.7439"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_NRRL 5592_Aspergillus oryzae__2_30_CL3_769_8#19#2024_A_17B_22.OKA","8/19/2024 7:16:29 PM","17-B","PM02A","","NRRL 5592","Aspergillus oryzae","",3.0000,"21.7093","29.3905","11.0000","19.5467","19.0498","11.8068","20.9327","21.7010","30.8670","23.0541","24.6700","27.6280","15.9415","12.7990","14.9792","11.0000","54.6805","11.0000","11.0000","11.0000","47.6481","11.0000","15.4848","35.8852","17.1867","11.0000","11.0000","11.0000","12.3718","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.6711","12.7448","11.0000","29.3508","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","31.7864","11.0000","11.0000","20.0345","31.7995","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","33.6641","17.6739","11.0000","23.9285","11.0000","21.5946","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","24.3048","12.0726","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","42.6060","13.2056","17.5232","13.0361","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","67.9475","13.9310","16.7737","19.8104"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_NRRL 5592_Aspergillus oryzae__2_30_CL3_769_8#19#2024_A_17B_22.OKA","8/19/2024 7:16:29 PM","17-B","PM02A","","NRRL 5592","Aspergillus oryzae","",3.2500,"24.2164","33.2965","15.4886","20.0513","24.1954","12.0004","20.9327","21.7670","35.0478","25.2579","25.9006","29.7312","15.0345","15.1542","12.7793","11.0000","48.9190","11.0000","11.0000","11.0000","47.7788","11.0000","15.2869","37.0103","16.9953","11.0000","11.0000","11.0000","13.0265","11.0000","11.0000","11.0000","11.0000","11.0000","14.4490","17.7851","11.9834","11.0000","28.0265","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","30.0670","11.0000","11.0000","17.7051","30.7771","11.0000","11.0000","11.0000","11.0000","11.0000","11.5822","33.7904","17.0251","11.0000","26.1554","11.0000","21.9467","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","24.0851","12.3178","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","39.6279","17.2970","16.6224","12.0798","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","69.9411","16.1535","17.6937","17.7701"
