"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_RIB40_Aspergillus oryzae__3_30_CL3_769_8#19#2024_A_ 6B_2.OKA","8/19/2024 7:16:29 PM"," 6-B","PM03B","","RIB40","Aspergillus oryzae","",0.0000,"22.6753","11.4199","12.5257","11.0000","11.2212","11.0000","11.2928","11.0000","11.0000","17.4837","16.5199","24.1094","16.5361","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9244","33.3618","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.9967","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.0201","15.2840","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3176","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.7983","19.7801","11.0000","20.3468","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0251","12.8094","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.1818"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_RIB40_Aspergillus oryzae__3_30_CL3_769_8#19#2024_A_ 6B_2.OKA","8/19/2024 7:16:29 PM"," 6-B","PM03B","","RIB40","Aspergillus oryzae","",0.2500,"22.5822","13.7453","14.4735","14.6689","11.0000","11.1291","15.0668","11.0000","12.1661","19.1795","21.5078","28.1937","15.2850","11.0000","11.0000","11.0000","11.0000","14.1790","11.0000","11.0000","11.0000","11.0000","11.0000","11.8914","32.9828","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8564","11.0000","11.5141","19.1737","12.2417","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.7693","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8427","16.6074","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.7833","26.6766","11.0000","16.6019","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8950","14.4042","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.3707"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_RIB40_Aspergillus oryzae__3_30_CL3_769_8#19#2024_A_ 6B_2.OKA","8/19/2024 7:16:29 PM"," 6-B","PM03B","","RIB40","Aspergillus oryzae","",0.5000,"27.7184","15.4491","12.8820","15.9877","11.3787","11.4498","11.0000","11.5971","13.1570","21.7364","23.6027","26.6800","20.2653","11.0000","11.0000","11.0000","11.0000","11.6974","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","32.1151","11.0000","11.5951","15.8380","11.0000","11.0000","11.0320","11.0000","11.0000","11.0000","17.1864","14.9437","16.0625","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9712","12.5000","20.6726","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4755","11.0000","11.0000","11.5234","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.6338","30.3279","11.0000","13.4493","12.9132","11.0000","11.0000","11.0000","11.0000","11.0000","15.8737","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.1115"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_RIB40_Aspergillus oryzae__3_30_CL3_769_8#19#2024_A_ 6B_2.OKA","8/19/2024 7:16:29 PM"," 6-B","PM03B","","RIB40","Aspergillus oryzae","",0.7500,"30.1955","21.6185","12.9831","22.4772","13.6027","14.8572","15.5025","15.6275","22.3294","16.9385","23.5891","30.5334","15.5853","14.5279","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.3690","12.0496","13.0341","16.8022","30.9021","17.6361","11.0000","11.3234","11.0000","11.0000","21.0011","11.0000","11.0000","14.6191","22.2866","18.1984","20.0131","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.7959","29.6681","13.7179","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.9097","11.0000","13.7298","18.1601","12.8893","11.0000","17.5446","11.0000","11.0000","11.0000","11.0000","11.1261","11.0000","12.8122","11.0000","24.3017","40.0152","11.0000","14.6195","16.0040","11.0000","11.0000","11.0000","11.0000","11.0000","16.8311","13.2041","11.0000","16.5382","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4728","11.0000","11.0000","26.4760"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_RIB40_Aspergillus oryzae__3_30_CL3_769_8#19#2024_A_ 6B_2.OKA","8/19/2024 7:16:29 PM"," 6-B","PM03B","","RIB40","Aspergillus oryzae","",1.0000,"31.0401","23.1391","17.6472","25.0230","16.9574","14.6574","17.8422","19.5455","22.0191","15.4137","24.1257","31.7341","21.5480","20.8334","11.0000","11.0000","11.0000","15.1034","12.2605","11.0000","17.5068","15.3481","11.6935","12.9109","32.4455","20.3975","12.2903","13.1682","11.0000","11.0000","21.6966","11.0000","11.0000","13.9273","21.9569","13.7498","22.6814","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.0742","28.3210","16.4880","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.1034","11.0000","18.4522","15.1318","17.6922","11.0000","18.7429","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2558","11.0000","25.5666","47.1539","11.0000","13.9180","17.1005","11.0000","11.0000","11.0000","11.0000","11.0000","23.3452","13.3450","11.0000","13.3638","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1945","11.0000","14.7045","26.7603"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_RIB40_Aspergillus oryzae__3_30_CL3_769_8#19#2024_A_ 6B_2.OKA","8/19/2024 7:16:29 PM"," 6-B","PM03B","","RIB40","Aspergillus oryzae","",1.2500,"34.1716","22.5390","11.0000","19.5964","18.7665","15.5668","12.5504","16.0016","25.6175","16.6525","27.6013","30.6985","17.2541","20.7622","11.0000","11.0000","11.0000","11.0000","12.0025","11.0000","13.2081","12.1872","11.3618","11.0000","32.9479","17.9720","15.2166","15.5305","11.0000","11.0000","20.5958","11.0000","11.0000","13.8783","21.0163","16.3509","22.5651","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5140","11.0000","19.7884","28.1440","12.3818","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0638","11.0000","11.0000","12.7533","19.4421","11.0000","18.3361","11.0000","11.0000","11.9111","11.0000","11.0000","11.0000","14.8819","11.0000","22.2796","52.5239","11.0000","16.9465","14.6811","11.0000","11.0000","11.0000","11.0000","11.0000","26.4528","13.6001","11.0620","11.1845","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.0182","11.0000","11.6392","24.5826"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_RIB40_Aspergillus oryzae__3_30_CL3_769_8#19#2024_A_ 6B_2.OKA","8/19/2024 7:16:29 PM"," 6-B","PM03B","","RIB40","Aspergillus oryzae","",1.5000,"39.6572","26.8248","12.1323","22.1875","20.8246","17.2268","16.7832","16.8573","26.4901","15.4881","26.6766","36.1251","20.7701","21.3867","11.0000","11.0000","11.0000","14.8651","11.9061","11.0000","14.5576","14.0181","11.0993","14.2017","33.8754","24.8038","12.2278","14.1288","11.0000","11.0000","20.9755","11.0000","11.0000","13.9262","25.9507","16.4010","21.7760","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8718","11.0000","11.0000","21.5720","29.6323","14.9933","11.0000","13.2150","11.0000","11.0000","11.0000","11.0000","11.0000","16.1447","11.0000","17.5738","14.2368","17.5930","11.0000","21.4223","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.1477","11.0000","25.5561","63.5267","11.0000","16.5791","14.5608","11.0000","12.7804","11.5710","11.0000","11.0000","30.6080","13.6808","11.0000","12.4767","11.0000","11.0000","11.0000","11.9808","11.0000","11.0000","11.0000","18.1789","11.0000","16.2434","29.4124"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_RIB40_Aspergillus oryzae__3_30_CL3_769_8#19#2024_A_ 6B_2.OKA","8/19/2024 7:16:29 PM"," 6-B","PM03B","","RIB40","Aspergillus oryzae","",1.7500,"37.3075","49.1037","11.0000","26.4305","22.4736","18.5973","15.7943","20.0313","29.2523","16.6110","32.2002","31.5486","24.5477","21.4460","11.0000","11.0000","11.0000","11.0000","13.2265","11.0000","16.3251","16.4622","12.4805","12.7730","34.4742","14.7680","12.8323","16.7654","11.0000","11.0000","19.9427","11.0000","11.0000","14.0023","29.7297","21.7820","27.6753","11.7515","11.0000","11.0000","11.0000","11.0000","11.0000","11.7012","11.0000","11.0000","24.3886","28.0183","14.5799","11.0000","11.4040","11.0000","11.0000","11.0000","11.0000","11.0000","19.3501","11.0000","19.2505","18.3875","19.4216","11.0000","21.1080","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.7988","11.0000","28.1787","68.1921","11.0000","15.7011","19.6452","11.0000","15.1545","11.0000","11.2525","11.0000","37.2619","14.3575","12.7367","11.0000","11.0000","15.5849","11.0000","11.0000","11.0000","11.0000","11.0000","18.5412","11.0000","11.0000","31.9244"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_RIB40_Aspergillus oryzae__3_30_CL3_769_8#19#2024_A_ 6B_2.OKA","8/19/2024 7:16:29 PM"," 6-B","PM03B","","RIB40","Aspergillus oryzae","",2.0000,"42.2686","48.8742","11.0000","25.2637","26.6473","34.5699","14.4967","18.6911","27.2913","19.9561","33.6821","34.0669","21.8935","18.7489","11.0000","11.0000","11.0000","12.6921","29.2622","11.0000","17.7845","19.3063","14.3097","12.1536","33.5949","17.2490","12.6722","17.8673","11.0000","11.0000","24.9744","11.0000","11.0000","15.6300","27.3039","17.3940","24.7786","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2873","12.0300","11.0000","20.2270","30.7202","14.2485","11.0000","14.5276","11.0000","11.0000","11.0000","11.0000","11.0000","17.2890","11.0000","22.1365","18.3822","21.3846","11.0000","25.0509","11.0000","11.0000","11.0000","11.0000","14.4581","11.0000","18.5933","11.0000","28.9960","73.9224","11.0000","20.4102","19.0899","11.0000","11.0000","14.6422","11.2858","11.0000","42.8350","15.8678","11.7765","11.0000","11.0000","17.2915","11.0000","15.2579","11.0000","11.0000","11.0000","19.5603","13.3004","12.6084","29.1194"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_RIB40_Aspergillus oryzae__3_30_CL3_769_8#19#2024_A_ 6B_2.OKA","8/19/2024 7:16:29 PM"," 6-B","PM03B","","RIB40","Aspergillus oryzae","",2.2500,"41.1096","42.4815","11.8775","23.7756","29.8011","39.2321","17.8695","19.5597","33.2447","18.7563","33.0326","35.2660","22.8694","20.3580","11.0644","11.0000","11.0000","19.0045","31.1336","11.0000","19.2512","19.7270","17.0977","16.0423","29.2279","17.5942","15.9038","18.9151","11.0000","11.0000","24.0858","12.9651","11.0000","17.4482","33.3229","20.0629","26.8525","14.3244","11.0000","11.0000","11.0000","11.0000","11.0000","13.5725","12.2861","11.0000","25.4343","32.0325","16.5382","11.0000","16.1017","11.0000","11.0000","11.0000","11.0000","11.0000","17.5458","11.8831","23.0533","16.6331","18.7738","11.0000","23.3939","11.0000","11.0000","16.5946","11.0000","14.0442","11.0000","16.2244","11.0000","30.5298","78.2622","11.0000","16.6828","18.2771","11.0000","11.1277","15.2990","11.6329","11.0000","46.9500","15.0730","11.0000","11.0000","11.0000","15.1057","11.0000","13.8555","11.0000","11.0000","11.0000","23.7637","11.0000","12.3605","32.6279"
